Month, Year, Carrier_Name, model_id, Num_Customers
12,2008,T-MOBILE,ASDASDASDGH-TQWE59BG123TMB,1
12,2008,VERIZON,ASDASDASDCH-I910ZK123VZW,1
1,2009,ALLTEL,ASDASDASDCH-R800ZK123123TL,1
1,2009,AT&T,ASDASDASDGH-12311ASDZK123123TT,1
1,2009,AT&T,ASDASDASDGH-I61ASDZK123123TT,2
1,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,4
1,2009,AT&T,ASDASDASDGH-12351ASDZK123123TT,1
1,2009,AT&T,ASDASDASDGH-123ASD6ASD123G123123TT,1
1,2009,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
1,2009,AT&T,ASDASDASDGH-12323ASDLB123123TT,1
1,2009,AT&T,ASDASDASDGH-123ASD3ASDYG123123TT,1
1,2009,CRICKET,ASDASDASDCH-RQWE50123G123CRI,1
1,2009,SPRINT,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
1,2009,SPRINT,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,2
1,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,4
1,2009,SPRINT,ASDASDASDPH-M800PRBASDASDASDPR,1
1,2009,T-MOBILE,ASDASDASDGH-T919CNBTMB,1
1,2009,T-MOBILE,ASDASDASDGH-TASD29ZKBTMB,1
1,2009,T-MOBILE,ASDASDASDGH-TQWE59BG123TMB,1
1,2009,US CELLULAR,ASDASDASDCH-R800ZK123UASDASDASDC,1
1,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
1,2009,VERIZON,ASDASDASDCH-U900ZR123VZW,1
2,2009,ALLTEL,ASDASDASDCH-R800ZK123123TL,1
2,2009,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,1
2,2009,AT&T,ASDASDASDGH-I61ASDZK123123TT,1
2,2009,AT&T,ASDASDASDGH-123ASD6ASDOR123123TT,1
2,2009,AT&T,ASDASDASDGH-123ASD0ASDNBC123TT,1
2,2009,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
2,2009,AT&T,ASDASDASDGH-I61ASDTI123123TT,1
2,2009,METRO PCS,ASDASDASDCH-RQWE50ZK123MTR,1
2,2009,SPRINT,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,2
2,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,5
2,2009,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
2,2009,SPRINT,ASDASDASDPH-M800PRBASDASDASDPR,2
2,2009,T-MOBILE,ASDASDASDGH-T919CNBTMB,1
2,2009,T-MOBILE,ASDASDASDGH-TASD39TASDASDASDBTMB,1
2,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
2,2009,VERIZON,ASDASDASDCH-U9QWE0DB123VZW,1
2,2009,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
3,2009,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,2
3,2009,AT&T,ASDASDASDGH-I61ASDZK123123TT,2
3,2009,AT&T,ASDASDASDGH-123ASDQWEASDCN123123TT,1
3,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,1
3,2009,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,2
3,2009,AT&T,ASDASDASDGH-I61ASDTI123123TT,1
3,2009,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
3,2009,AT&T,ASDASDASDGH-12383ASDWR123123TT,1
3,2009,CRICKET,ASDASDASDCH-RQWE30BASDASDASD123CRI,1
3,2009,CRICKET,ASDASDASDCH-RQWE50NB123CRI,1
3,2009,METRO PCS,ASDASDASDCH-RQWE50ZK123MTR,1
3,2009,SPRINT,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
3,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,1
3,2009,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
3,2009,SPRINT,ASDASDASDPH-M800PRBASDASDASDPR,1
3,2009,T-MOBILE,ASDASDASDGH-T609PWBTMB,1
3,2009,T-MOBILE,ASDASDASDGH-T929ZK123TMB,1
3,2009,T-MOBILE,ASDASDASDGH-TQWE59BG123TMB,1
3,2009,US CELLULAR,ASDASDASDCH-R210LASDASDASD123UASDASDASDC,1
3,2009,VERIZON,ASDASDASDCH-UQWE30NASDASDASD123VZW,1
3,2009,VERIZON,ASDASDASDCH-UQWEASD0ZRPVZW,1
3,2009,VERIZON,ASDASDASDCH-IASDASD0DB123VZW,1
4,2009,AT&T,ASDASDASDGH-I90ASDZK123123TT,1
4,2009,AT&T,ASDASDASDGH-I61ASDZK123123TT,5
4,2009,AT&T,ASDASDASDGH-I61ASDEB123123TT,1
4,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,3
4,2009,AT&T,ASDASDASDGH-12323ASDLB123123TT,1
4,2009,METRO PCS,ASDASDASDCH-RQWE50ZK123MTR,1
4,2009,SPRINT,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
4,2009,SPRINT,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,1
4,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
5,2009,AT&T,ASDASDASDGH-I90ASDZK123123TT,2
5,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,1
5,2009,AT&T,ASDASDASDGH-123ASDASDASDEG123123TT,1
5,2009,AT&T,ASDASDASDGH-12383ASDDK123123TT,1
5,2009,AT&T,ASDASDASDGH-I61ASDEB123123TT,1
5,2009,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
5,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,1
5,2009,AT&T,ASDASDASDGH-123ASD0ASDZRC123TT,1
5,2009,AT&T,ASDASDASDGH-12313ASDIBC123TT,1
5,2009,SPRINT,ASDASDASDPH-M810H123123ASDASDASDPR,1
5,2009,VERIZON,ASDASDASDCH-U310ZN123VZW,1
5,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
5,2009,VERIZON,ASDASDASDCH-U350MB123VZW,1
6,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,1
6,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,5
6,2009,AT&T,ASDASDASDGH-12323ASDRK123123TT,1
6,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,1
6,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
7,2009,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,2
7,2009,AT&T,ASDASDASDGH-I63ASDM123123123TT,1
7,2009,AT&T,ASDASDASDGH-12325ASDUR123123TT,1
7,2009,AT&T,ASDASDASDGH-12323ASDRK123123TT,1
7,2009,SPRINT,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,1
7,2009,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
7,2009,T-MOBILE,ASDASDASDGH-T929ZK123TMB,1
8,2009,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
8,2009,AT&T,ASDASDASDGH-12383ASDDK123123TT,1
8,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,2
8,2009,AT&T,ASDASDASDGH-12323ASDRK123123TT,1
8,2009,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
8,2009,AT&T,ASDASDASDGH-12323ASDLB123123TT,1
8,2009,AT&T,ASDASDASDGH-12316ASDLB123123TT,1
8,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,2
8,2009,SPRINT,ASDASDASDPH-M550ZK123ASDASDASDPR,1
8,2009,T-MOBILE,ASDASDASDGH-TQWE59BGBTMB,1
8,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
8,2009,VERIZON,ASDASDASDCH-U9QWE0DB123VZW,1
9,2009,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,1
9,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,4
9,2009,AT&T,ASDASDASDGH-I61ASDZK123123TT,1
9,2009,AT&T,ASDASDASDGH-12383ASDDK123123TT,1
9,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,3
9,2009,AT&T,ASDASDASDGH-1231ASDASDZKC123TT,1
9,2009,CRICKET,ASDASDASDCH-R550ZK123CRI,1
9,2009,METRO PCS,ASDASDASDCH-R560TASDASDASD123MTR,1
9,2009,SPRINT,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
9,2009,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,1
9,2009,VERIZON,ASDASDASDCH-U650PASDASDASD123VZW,1
9,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,2
9,2009,VERIZON,ASDASDASDCH-U350MBPVZW,1
10,2009,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
10,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,1
10,2009,AT&T,ASDASDASDGH-12383ASDDK123123TT,1
10,2009,AT&T,ASDASDASDGH-I63ASDM123123123TT,1
10,2009,AT&T,ASDASDASDGH-12388ASDZK123123TT,1
10,2009,AT&T,ASDASDASDGH-I62ASDM123123123TT,1
10,2009,AT&T,ASDASDASDGH-123ASD6ASDWR123123TT,1
10,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
10,2009,VERIZON,ASDASDASDCH-IASDASD0DB123VZW,1
10,2009,VERIZON,ASDASDASDCH-UASDQWE0Z123123VZW,1
11,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,3
11,2009,AT&T,ASDASDASDGH-12325ASDUR123123TT,1
11,2009,AT&T,ASDASDASDGH-12388ASDZK123123TT,1
11,2009,AT&T,ASDASDASDGH-123ASDASDASDFO123123TT,1
11,2009,AT&T,ASDASDASDGH-12316ASDLB123123TT,1
11,2009,AT&T,ASDASDASDEG-1231ASDASDZK123123TT,1
11,2009,METRO PCS,ASDASDASDCH-RQWE50ZK123MTR,1
11,2009,T-MOBILE,ASDASDASDGH-TASDQWE9Z123BTMB,1
12,2009,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,1
12,2009,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,1
12,2009,AT&T,ASDASDASDGH-123ASDASDASDEG123123TT,1
12,2009,AT&T,ASDASDASDGH-12386ASDZK123123TT,1
12,2009,AT&T,ASDASDASDGH-12388ASDZK123123TT,1
12,2009,AT&T,ASDASDASDGH-12316ASDLB123123TT,1
12,2009,T-MOBILE,ASDASDASDGH-T239WRBTMB,1
12,2009,T-MOBILE,ASDASDASDGH-TQWE59BG123TMB,1
12,2009,T-MOBILE,ASDASDASDGH-TASDQWE9Z123BTMB,1
12,2009,T-MOBILE,ASDASDASDGH-TASDQWE9Z123123TMB,1
12,2009,T-MOBILE,ASDASDASDGH-TQWE59BGBTMB,1
12,2009,VERIZON,ASDASDASDCH-I910ZK123VZW,1
12,2009,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
1,2010,AT&T,ASDASDASDGH-I90ASDZK123123TT,1
1,2010,AT&T,ASDASDASDGH-123ASD6ASDLB123123TT,2
1,2010,AT&T,ASDASDASDGH-1238ASDASDRB123123TT,5
1,2010,AT&T,ASDASDASDGH-12316ASDLBC123TT,1
1,2010,AT&T,ASDASDASDGH-12389ASDZK123123TT,1
1,2010,AT&T,ASDASDASDGH-123ASDASDASDEG123123TT,2
1,2010,AT&T,ASDASDASDGH-123ASD0ASDNBC123TT,1
1,2010,AT&T,ASDASDASDGH-I61ASDEB123123TT,1
1,2010,AT&T,ASDASDASDGH-12386ASDZK123123TT,2
1,2010,AT&T,ASDASDASDGH-12388ASDZK123123TT,2
1,2010,CRICKET,ASDASDASDCH-RQWE50NB123CRI,1
1,2010,METRO PCS,ASDASDASDCH-R350Z123123MTR,1
1,2010,Other,ASDASDASDPH-123900ZKASDASDASDX123R,1
1,2010,SPRINT,ASDASDASDPH-M560GN123ASDASDASDPR,1
1,2010,SPRINT,ASDASDASDPH-M550CR123ASDASDASDPR,1
1,2010,SPRINT,ASDASDASDPH-M550ZK123ASDASDASDPR,1
1,2010,T-MOBILE,ASDASDASDGH-TASDQWE9ZOBTMB,1
1,2010,T-MOBILE,ASDASDASDGH-TASDQWE9Z123BTMB,1
1,2010,VERIZON,ASDASDASDCH-U650PASDASDASD123VZW,1
1,2010,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
1,2010,VERIZON,ASDASDASDCH-I910ZKLVZW,1
1,2010,VERIZON,ASDASDASDCH-UASD50H123123VZW,1
1,2010,VERIZON,ASDASDASDCH-U350MBCVZW,1
2,2010,ALLTEL,ASDASDASDCH-R800ZK123123TL,1
2,2010,ALLTEL,ASDASDASDCH-R600ZB123123TL,1
2,2010,AT&T,ASDASDASDGH-123ASD9ASDZASDASDASD123123TT,1
2,2010,AT&T,ASDASDASDGH-12389ASDZK123123TT,3
2,2010,AT&T,ASDASDASDGH-12383ASDDK123123TT,1
2,2010,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
2,2010,AT&T,ASDASDASDGH-12386ASDZK123123TT,2
2,2010,AT&T,ASDASDASDGH-123ASD6ASD123G123123TT,1
2,2010,AT&T,ASDASDASDGH-123ASDASDASDOR123123TT,1
2,2010,AT&T,ASDASDASDGH-12313ASDIBE123TT,1
2,2010,AT&T,ASDASDASDGH-1231ASDASDZKC123TT,1
2,2010,CRICKET,ASDASDASDCH-R211ZK123CRI,1
2,2010,METRO PCS,ASDASDASDCH-R810ZK123MTR,1
2,2010,Other,ASDASDASDCH-RQWE51ZKGTRF,1
