Campaign_Name,Audience,Version,Subject_Line,Deployment_Date,Delivered,numOpened,Open_Rate,Click_to_Open_Rate,Click_Rate,Unsub_Rate
"TD_BRX Group2s Stories",AC5_ALL,AH_Group2_STORIES,S3,"2015-03-18 00:00:00",1181,230,0.1948,0.0348,0.0068,0.0008
FR_AB4_Launch,"Active AB4 Handraisers",Handraiser,,"2013-06-10 00:00:00",180,71,0.3944,0.3380,0.1333,0.0000
FR_AB4_Launch,"Active BRX",Smartphone,,"2013-06-10 00:00:00",924,192,0.2062,0.2604,0.0537,0.0021
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_ATT,S1,"2015-03-27 00:00:00",79,20,0.2532,0.1000,0.0253,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_ATT,S5,"2015-03-30 00:00:00",77,19,0.2468,0.1053,0.0260,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_GEN,S3,"2015-04-01 00:00:00",23,4,0.1739,0.0000,0.0000,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_GEN,S7,"2015-04-06 00:00:00",4,1,0.2500,0.0000,0.0000,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_SPR,S1,"2015-03-27 00:00:00",54,10,0.1852,0.1000,0.0185,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_TMO,S1,"2015-03-30 00:00:00",76,20,0.2632,0.2000,0.0526,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_USCC,S1,"2015-03-27 00:00:00",3,0,0.0000,0.0000,0.0000,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_USCC,S5,"2015-03-30 00:00:00",3,0,0.0000,0.0000,0.0000,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_VZN,S1,"2015-04-01 00:00:00",53,9,0.1698,0.2222,0.0377,0.0000
"TG_BRX Alpha S 6 Preorder","Active Early Adopter",UPGRADE_VZN,S6,"2015-04-06 00:00:00",40,3,0.0750,0.3333,0.0250,0.0000
