Carrier,Reg_Year,Reg_Month,Device_Model,Count
VERIZON,2009,2,ASDASDASDCH-IASD60ZK123VZW,1
VERIZON,2009,2,ASDASDASDCH-U9QWE0DB123VZW,1
ALLTEL,2009,2,ASDASDASDCH-R800ZK123123TL,1
AT&T,2009,2,ASDASDASDGH-123ASD0ASDNBC123TT,1
AT&T,2009,2,ASDASDASDGH-123ASD3ASDZO123123TT,1
AT&T,2009,2,ASDASDASDGH-123ASD6ASDLB123123TT,1
AT&T,2009,2,ASDASDASDGH-123ASD6ASDOR123123TT,1
AT&T,2009,2,ASDASDASDGH-I61ASDTI123123TT,1
AT&T,2009,2,ASDASDASDGH-I61ASDZK123123TT,1
AT&T,2009,3,ASDASDASDGH-12383ASDWR123123TT,1
AT&T,2009,3,ASDASDASDGH-12386ASDZK123123TT,1
AT&T,2009,3,ASDASDASDGH-123ASD3ASDZO123123TT,2
AT&T,2009,3,ASDASDASDGH-123ASD6ASDLB123123TT,2
AT&T,2009,3,ASDASDASDGH-123ASDQWEASDCN123123TT,1
AT&T,2009,3,ASDASDASDGH-I61ASDTI123123TT,1
AT&T,2009,3,ASDASDASDGH-I61ASDWR123123TT,1
AT&T,2009,3,ASDASDASDGH-I61ASDZK123123TT,2
SPRINT,2009,3,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2009,3,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
SPRINT,2009,3,ASDASDASDPH-M800PRBASDASDASDPR,1
SPRINT,2009,3,ASDASDASDPH-M800ZK123ASDASDASDPR,1
T-MOBILE,2009,3,ASDASDASDGH-T609PWBTMB,1
T-MOBILE,2009,3,ASDASDASDGH-T929ZK123TMB,1
T-MOBILE,2009,3,ASDASDASDGH-TQWE59BG123TMB,1
CRICKET,2009,3,ASDASDASDCH-RQWE30BASDASDASD123CRI,1
CRICKET,2009,3,ASDASDASDCH-RQWE50NB123CRI,1
"METRO PCS",2009,3,ASDASDASDCH-RQWE50ZK123MTR,1
"US CELLULAR",2009,3,ASDASDASDCH-R210LASDASDASD123UASDASDASDC,1
VERIZON,2009,3,ASDASDASDCH-IASDASD0DB123VZW,1
VERIZON,2009,3,ASDASDASDCH-UQWE30NASDASDASD123VZW,1
VERIZON,2009,3,ASDASDASDCH-UQWEASD0ZRPVZW,1
VERIZON,2009,4,ASDASDASDCH-I910ZK123VZW,1
SPRINT,2009,4,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,1
SPRINT,2009,4,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
AT&T,2009,4,ASDASDASDGH-12323ASDLB123123TT,1
AT&T,2009,4,ASDASDASDGH-12386ASDZK123123TT,3
AT&T,2009,4,ASDASDASDGH-I61ASDEB123123TT,1
AT&T,2009,4,ASDASDASDGH-I61ASDZK123123TT,5
AT&T,2009,4,ASDASDASDGH-I90ASDZK123123TT,1
"METRO PCS",2009,4,ASDASDASDCH-RQWE50ZK123MTR,1
SPRINT,2009,5,ASDASDASDPH-M810H123123ASDASDASDPR,1
VERIZON,2009,5,ASDASDASDCH-I910ZK123VZW,1
VERIZON,2009,5,ASDASDASDCH-U310ZN123VZW,2
VERIZON,2009,5,ASDASDASDCH-U350MB123VZW,1
AT&T,2009,5,ASDASDASDGH-12313ASDIBC123TT,2
AT&T,2009,5,ASDASDASDGH-12383ASDDK123123TT,1
AT&T,2009,5,ASDASDASDGH-12386ASDZK123123TT,1
AT&T,2009,5,ASDASDASDGH-1238ASDASDRB123123TT,1
AT&T,2009,5,ASDASDASDGH-123ASD0ASDZRC123TT,1
AT&T,2009,5,ASDASDASDGH-123ASDASDASDEG123123TT,1
AT&T,2009,5,ASDASDASDGH-I60ASDZKB123TT,1
AT&T,2009,5,ASDASDASDGH-I61ASDEB123123TT,1
AT&T,2009,5,ASDASDASDGH-I90ASDZK123123TT,2
AT&T,2009,6,ASDASDASDGH-12323ASDRK123123TT,1
AT&T,2009,6,ASDASDASDGH-12386ASDZK123123TT,5
AT&T,2009,6,ASDASDASDGH-1238ASDASDRB123123TT,1
SPRINT,2009,6,ASDASDASDPH-M800ZK123ASDASDASDPR,2
VERIZON,2009,6,ASDASDASDCH-I910ZK123VZW,1
AT&T,2009,7,ASDASDASDGH-12323ASDRK123123TT,1
AT&T,2009,7,ASDASDASDGH-12325ASDUR123123TT,1
AT&T,2009,7,ASDASDASDGH-123ASD6ASDLB123123TT,2
AT&T,2009,7,ASDASDASDGH-I63ASDM123123123TT,1
SPRINT,2009,7,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,1
SPRINT,2009,7,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
T-MOBILE,2009,7,ASDASDASDGH-T929ZK123TMB,1
T-MOBILE,2009,8,ASDASDASDGH-TQWE59BGBTMB,1
VERIZON,2009,8,ASDASDASDCH-I910ZK123VZW,1
VERIZON,2009,8,ASDASDASDCH-U9QWE0DB123VZW,1
SPRINT,2009,8,ASDASDASDPH-M550ZK123ASDASDASDPR,2
SPRINT,2009,8,ASDASDASDPH-M800ZK123ASDASDASDPR,2
AT&T,2009,8,ASDASDASDGH-12316ASDLB123123TT,1
AT&T,2009,8,ASDASDASDGH-12323ASDLB123123TT,1
AT&T,2009,8,ASDASDASDGH-12323ASDRK123123TT,1
AT&T,2009,8,ASDASDASDGH-12383ASDDK123123TT,1
AT&T,2009,8,ASDASDASDGH-12386ASDZK123123TT,2
AT&T,2009,8,ASDASDASDGH-123ASD3ASDHB123123TT,1
AT&T,2009,8,ASDASDASDGH-I61ASDWR123123TT,1
AT&T,2009,9,ASDASDASDGH-1231ASDASDZKC123TT,1
AT&T,2009,9,ASDASDASDGH-12383ASDDK123123TT,1
AT&T,2009,9,ASDASDASDGH-12386ASDZK123123TT,3
AT&T,2009,9,ASDASDASDGH-1238ASDASDRB123123TT,4
AT&T,2009,9,ASDASDASDGH-123ASD6ASDLB123123TT,1
AT&T,2009,9,ASDASDASDGH-I61ASDZK123123TT,1
CRICKET,2009,9,ASDASDASDCH-R550ZK123CRI,1
"METRO PCS",2009,9,ASDASDASDCH-R560TASDASDASD123MTR,1
SPRINT,2009,9,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
SPRINT,2009,9,ASDASDASDPH-M800ZK123ASDASDASDPR,1
VERIZON,2009,9,ASDASDASDCH-I910ZK123VZW,2
VERIZON,2009,9,ASDASDASDCH-U350MBPVZW,1
VERIZON,2009,9,ASDASDASDCH-U650PASDASDASD123VZW,1
VERIZON,2009,10,ASDASDASDCH-I910ZK123VZW,1
VERIZON,2009,10,ASDASDASDCH-IASDASD0DB123VZW,1
VERIZON,2009,10,ASDASDASDCH-UASDQWE0Z123123VZW,1
AT&T,2009,10,ASDASDASDGH-12383ASDDK123123TT,1
AT&T,2009,10,ASDASDASDGH-12388ASDZK123123TT,1
AT&T,2009,10,ASDASDASDGH-1238ASDASDRB123123TT,1
AT&T,2009,10,ASDASDASDGH-123ASD6ASDWR123123TT,1
AT&T,2009,10,ASDASDASDGH-123QWE3ASDD123123123TT,1
AT&T,2009,10,ASDASDASDGH-I62ASDM123123123TT,1
AT&T,2009,10,ASDASDASDGH-I63ASDM123123123TT,1
AT&T,2009,11,ASDASDASDEG-1231ASDASDZK123123TT,1
AT&T,2009,11,ASDASDASDGH-12316ASDLB123123TT,1
AT&T,2009,11,ASDASDASDGH-12325ASDUR123123TT,1
AT&T,2009,11,ASDASDASDGH-12388ASDZK123123TT,3
AT&T,2009,11,ASDASDASDGH-1238ASDASDRB123123TT,3
AT&T,2009,11,ASDASDASDGH-123ASDASDASDFO123123TT,1
"METRO PCS",2009,11,ASDASDASDCH-RQWE50ZK123MTR,1
T-MOBILE,2009,11,ASDASDASDGH-TASDQWE9Z123BTMB,1
T-MOBILE,2009,12,ASDASDASDGH-T239WRBTMB,1
T-MOBILE,2009,12,ASDASDASDGH-TASDQWE9Z123123TMB,1
T-MOBILE,2009,12,ASDASDASDGH-TASDQWE9Z123BTMB,1
T-MOBILE,2009,12,ASDASDASDGH-TQWE59BG123TMB,1
T-MOBILE,2009,12,ASDASDASDGH-TQWE59BGBTMB,1
AT&T,2009,12,ASDASDASDGH-12316ASDLB123123TT,1
AT&T,2009,12,ASDASDASDGH-12386ASDZK123123TT,2
AT&T,2009,12,ASDASDASDGH-12388ASDZK123123TT,1
AT&T,2009,12,ASDASDASDGH-1238ASDASDRB123123TT,1
AT&T,2009,12,ASDASDASDGH-123ASD6ASDLB123123TT,1
AT&T,2009,12,ASDASDASDGH-123ASDASDASDEG123123TT,1
VERIZON,2009,12,ASDASDASDCH-I910ZK123VZW,1
VERIZON,2009,12,ASDASDASDCH-IASD60ZK123VZW,1
VERIZON,2010,1,ASDASDASDCH-I910ZKLVZW,1
VERIZON,2010,1,ASDASDASDCH-IASD60ZK123VZW,1
VERIZON,2010,1,ASDASDASDCH-U350MBCVZW,1
VERIZON,2010,1,ASDASDASDCH-U650PASDASDASD123VZW,1
VERIZON,2010,1,ASDASDASDCH-UASD50H123123VZW,1
AT&T,2010,1,ASDASDASDGH-12316ASDLBC123TT,1
AT&T,2010,1,ASDASDASDGH-12386ASDZK123123TT,2
AT&T,2010,1,ASDASDASDGH-12388ASDZK123123TT,3
AT&T,2010,1,ASDASDASDGH-12389ASDZK123123TT,1
AT&T,2010,1,ASDASDASDGH-1238ASDASDRB123123TT,5
AT&T,2010,1,ASDASDASDGH-123ASD0ASDNBC123TT,1
AT&T,2010,1,ASDASDASDGH-123ASD6ASDLB123123TT,2
AT&T,2010,1,ASDASDASDGH-123ASDASDASDEG123123TT,2
AT&T,2010,1,ASDASDASDGH-I61ASDEB123123TT,1
AT&T,2010,1,ASDASDASDGH-I90ASDZK123123TT,1
SPRINT,2010,1,ASDASDASDPH-M550CR123ASDASDASDPR,1
SPRINT,2010,1,ASDASDASDPH-M550ZK123ASDASDASDPR,1
SPRINT,2010,1,ASDASDASDPH-M560GN123ASDASDASDPR,1
CRICKET,2010,1,ASDASDASDCH-RQWE50NB123CRI,1
"METRO PCS",2010,1,ASDASDASDCH-R350Z123123MTR,1
Other,2010,1,ASDASDASDPH-123900ZKASDASDASDX123R,1
T-MOBILE,2010,1,ASDASDASDGH-TASDQWE9Z123BTMB,1
T-MOBILE,2010,1,ASDASDASDGH-TASDQWE9ZOBTMB,1
T-MOBILE,2010,2,ASDASDASDGH-T239WRBTMB,1
T-MOBILE,2010,2,ASDASDASDGH-TASDQWE9Z123123TMB,1
T-MOBILE,2010,2,ASDASDASDGH-TQWE69D123123TMB,1
ALLTEL,2010,2,ASDASDASDCH-R600ZB123123TL,1
ALLTEL,2010,2,ASDASDASDCH-R800ZK123123TL,1
AT&T,2010,2,ASDASDASDGH-12313ASDIBE123TT,1
AT&T,2010,2,ASDASDASDGH-1231ASDASDZKC123TT,1
AT&T,2010,2,ASDASDASDGH-12383ASDDK123123TT,1
AT&T,2010,2,ASDASDASDGH-12386ASDZK123123TT,2
AT&T,2010,2,ASDASDASDGH-12389ASDZK123123TT,3
AT&T,2010,2,ASDASDASDGH-123ASD6ASD123G123123TT,1
AT&T,2010,2,ASDASDASDGH-123ASD9ASDZASDASDASD123123TT,1
AT&T,2010,2,ASDASDASDGH-123ASDASDASDOR123123TT,1
