Campaign Name,Audience,Version,Subject Line,Deployment Date,Unique Emails Delivered,Unique Emails Opened,Unique Clickers,Open Rate,Click Rate,Click To Open Rate,Unsub Rate
AR_PRC_Trigger_With_Suppressions,,BRX Generic Tablet,S3,4/3/2015,6,5,1,0.8333,0.1667,0.2,0
CN_BRX_Survey,,,,10/2/2013,1098,304,98,0.2769,0.0893,0.32236842,0.0066
CN_Daily_Business_Highlights,,,,7/12/2013,118,27,11,0.2288,0.0932,0.4074074,0
CN_Daily_Business_Highlights,AS1,,,4/10/2013,54,18,1,0.3333,0.0185,0.05555555,0
CN_Daily_Business_Highlights,NonRC,,,7/12/2013,37,10,3,0.2703,0.0811,0.3,0
FF_Project_J_Handraiser,,,,3/18/2013,171,105,9,0.614,0.0526,0.08571428,0.019
FF_Project_J_Handraiser,,,,4/2/2013,110,75,9,0.6818,0.0818,0.12,0
FG_Beta_8_Launch,brandx Account Signups,V1,,4/12/2013,58,17,3,0.2931,0.0517,0.17647059,0.0588
FP_AB4_Preorder,A) Handraisers,SPR,,4/18/2013,47,30,10,0.6383,0.2128,0.33333333,0
FR_AB4_Launch,Active BRX,Smartphone,,5/30/2013,525,190,49,0.3619,0.0933,0.25789474,0.0105
FR_AB4_Launch,Active BRX,Smartphone,,6/10/2013,398,63,17,0.1583,0.0427,0.26984127,0.0159
FR_AB4_Launch,Active Other Feature Phone Group2s,Feature,,5/23/2013,256,95,20,0.3711,0.0781,0.21052632,0
FR_AB4_Launch,Active Other Feature Phone Group2s,Feature,,5/30/2013,192,33,11,0.1719,0.0573,0.33333333,0
FR_AB4_Launch,Active QWE,Smartphone,,5/30/2013,950,429,108,0.4516,0.1137,0.25174825,0.0163
FR_AB4_Launch,Active QWE,Smartphone,,6/10/2013,629,111,29,0.1765,0.0461,0.26126126,0.036
FR_AB4_Launch,Active Smartphone Group2s,Smartphone,,5/23/2013,98,43,13,0.4388,0.1327,0.30232558,0.0233
FR_AB4_Launch,C) Active Feature Phone Group2s,Feature,,4/27/2013,62,24,6,0.3871,0.0968,0.25,0
FR_AB4_Launch,C) Active Feature Phone Group2s,Feature,,5/6/2013,43,5,0,0.1163,0,0,0
FR_AB4_Launch,F) Inactive Feature Phone Group2s,Feature,,4/27/2013,75,4,2,0.0533,0.0267,0.49999999,0.25
FR_AB4_Launch,F) Inactive Feature Phone Group2s,Feature,,5/6/2013,71,0,0,0,0,0,0
FR_AB4_Launch,Inactive BRX,Smartphone,,5/30/2013,794,44,12,0.0554,0.0151,0.27272727,0.0227
FR_AB4_Launch,Inactive BRX,Smartphone,,6/12/2013,752,16,5,0.0213,0.0066,0.3125,0.0625
FR_AB4_Launch,Inactive Feature Phone Group2s,Feature,,5/30/2013,73,4,0,0.0548,0,0,0.25
FR_AB4_Launch,Inactive Feature Phone Group2s,Feature,,6/12/2013,68,0,0,0,0,0,0
FR_AB4_Launch,Inactive Other Feature Phone Group2s,Feature,,5/23/2013,278,22,3,0.0791,0.0108,0.13636363,0
FR_AB4_Launch,Inactive Other Feature Phone Group2s,Feature,,5/30/2013,264,13,2,0.0492,0.0076,0.15384614,0
FR_AB4_Launch,Inactive QWE,Smartphone,,5/30/2013,379,56,14,0.1478,0.0369,0.24999999,0.0179
FR_AB4_Launch,Inactive QWE,Smartphone,,6/12/2013,329,19,7,0.0578,0.0213,0.36842105,0
FR_AB4_Launch,Inactive Smartphone Group2s,Smartphone,,5/30/2013,41,2,0,0.0488,0,0,0
FR_AB4_Launch,Inactive Smartphone Group2s,Smartphone,,6/12/2013,30,1,0,0.0333,0,0,0
FR_AB4_Launch,Inactive Verizon Group1s,Smartphone,,5/23/2013,16,3,1,0.1875,0.0625,0.33333333,0
FR_AB4_Launch,Inactive VZN Feature Phone Group2s,Feature,,5/23/2013,35,1,0,0.0286,0,0,0
FR_AB4_Launch,Inactive VZN Feature Phone Group2s,Feature,,5/30/2013,34,0,0,0,0,0,0
GY_Project_Carter,,,,6/26/2013,723,143,32,0.1978,0.0443,0.22377622,0.007
GY_Project_Carter,,,,7/3/2013,369,61,15,0.1653,0.0407,0.24590164,0.0164
GY_Project_Carter,AX 4 Registrants,,,6/26/2013,37,18,3,0.4865,0.0811,0.16666667,0
H8_Alpha_Tab_3_Launch,No Tab-SP,NoTab,,7/9/2013,319,100,11,0.3135,0.0345,0.11,0
H8_Alpha_Tab_3_Launch,No Tab-SP,NoTab,,8/13/2013,242,27,3,0.1116,0.0124,0.11111111,0
H8_Alpha_Tab_3_Launch,Smartphone Group2s,SmartNoTab,,7/9/2013,729,317,40,0.4348,0.0549,0.12618296,0.0032
JC_HB_Pre-Order,,ATT_HB_PO,,9/27/2013,101,29,8,0.2871,0.0792,0.27586207,0
JC_HB_Pre-Order,,TMB_HB_PO,,9/27/2013,27,7,2,0.2593,0.0741,0.28571429,0
JC_HB_Pre-Order,Feature phone Group2s (0-6 months),ATT_HB_PO,,9/27/2013,3,2,0,0.6667,0,0,0
JC_HB_Pre-Order,Other smartphone Group2s (12+ months),ATT_HB_PO,,9/27/2013,82,25,5,0.3049,0.061,0.2,0
JC_HB_Pre-Order,Other smartphone Group2s (12+ months),TMB_HB_PO,,9/27/2013,52,19,2,0.3654,0.0385,0.10526316,0
JC_HB_Pre-Order,Other smartphone Group2s (12+ months),VZN_HB_PO,,9/27/2013,30,6,1,0.2,0.0333,0.16666667,0
JD BRX Beta 3 and Alpha Gamma Launch,,GEN_HRGEN_HB_LA,S1,10/24/2013,1973,416,78,0.2108,0.0395,0.1875,0.012
JD BRX Beta 3 and Alpha Gamma Launch,,GEN_UPGR_HB_LA,S2,10/24/2013,72,14,3,0.1944,0.0417,0.21428571,0
JD BRX Beta 3 and Alpha Gamma Launch,,IA_HRIA_HB_LA,S1,10/25/2013,687,35,7,0.0509,0.0102,0.19999999,0
JD BRX Beta 3 and Alpha Gamma Launch,,IA_HRIA_HB_LA,S1,10/28/2013,126,10,1,0.0794,0.0079,0.09999999,0
JD BRX Beta 3 and Alpha Gamma Launch,,IA_UPGR_HB_LA,S2,10/25/2013,108,6,3,0.0556,0.0278,0.49999999,0
JD BRX Beta 3 and Alpha Gamma Launch,,IA_UPGR_HB_LA,S2,10/28/2013,31,2,2,0.0645,0.0645,1,0
JD BRX Beta 3 and Alpha Gamma Launch,Feature phone Group2s (12+ months),GEN_UPGR_HB_LA,S2,10/24/2013,122,30,7,0.2459,0.0574,0.23333333,0.0333
JD BRX Beta 3 and Alpha Gamma Launch,Feature phone Group2s (12+ months),IA_UPGR_HB_LA,S2,10/25/2013,205,10,2,0.0488,0.0098,0.19999999,0.1
JD BRX Beta 3 and Alpha Gamma Launch,Feature phone Group2s (12+ months),IA_UPGR_HB_LA,S2,10/28/2013,55,3,1,0.0545,0.0182,0.33333333,0
JD BRX Beta 3 and Alpha Gamma Launch,Feature phone Group2s (12+ months),TMB_UPGR_HB_LA,S2,10/4/2013,13,3,2,0.2308,0.1538,0.66666667,0
JD BRX Beta 3 and Alpha Gamma Launch,Tablet Group2s,IA_HRIA_HB_LA,S1,10/25/2013,22,1,0,0.0455,0,0,0
JF_BRX_Beta_10.1_Launch,,HRGEN_X2014_LA,S1,10/10/2013,1302,273,34,0.2097,0.0261,0.12454212,0.0037
KB_BRX_Beta_II_and_3_PENUP,Beta II Group2s,Beta_2,,10/30/2013,144,29,8,0.2014,0.0556,0.27586207,0
KD_BRX_Beta_3_and_Alpha_Gamma_Launch_Resend,,,,10/30/2013,505,84,16,0.1663,0.0317,0.19047619,0
KD_BRX_Beta_3_and_Alpha_Gamma_Launch_Resend,All Other BRX/QWE,,,10/30/2013,604,83,15,0.1374,0.0248,0.18072289,0
KD_BRX_Beta_3_and_Alpha_Gamma_Launch_Resend,Non-Registrants,,,10/30/2013,1014,151,18,0.1489,0.0178,0.1192053,0
KN_BRX_Holiday_Helpers,Boston,,S1,12/13/2013,33,6,2,0.1818,0.0606,0.33333333,0
KN_BRX_Holiday_Helpers,Chicago,,S1,12/13/2013,55,9,1,0.1636,0.0182,0.11111111,0
KN_BRX_Holiday_Helpers,Philadelphia,,S1,12/13/2013,128,29,6,0.2266,0.0469,0.20689655,0
KN_BRX_Holiday_Helpers,San Francisco,,S1,12/13/2013,40,7,0,0.175,0,0,0
KP_BRX_December_Newsletter,Beta Group2s,,S3,12/20/2013,156,21,3,0.1346,0.0192,0.14285714,0
KS_BRX_Holiday_Viral_Video_Consumer,BRX Group2s and Preferences,,,12/23/2013,4419,718,174,0.1625,0.0394,0.24233983,0.0139
KX_BRX_Beta_10.1_2014_Launch,Featurephone Group2s_RM,,S3,1/14/2014,131,19,1,0.145,0.0076,0.05263157,0
KX_BRX_Beta_10.1_2014_Launch,Smartphone Group2s_RM,,S3,1/14/2014,1301,99,9,0.0761,0.0069,0.09090908,0.0202
KZ_BRX_Newsletter_Survey,Jan_MAG,,,1/28/2014,138,74,13,0.5362,0.0942,0.17567567,0
KZ_BRX_Newsletter_Survey,Jan_SOC,,,1/28/2014,125,68,10,0.544,0.08,0.14705882,0
