carrier	device_model	MONTHNAME(DeviceRegistration.registration_date)	YEAR(DeviceRegistration.registration_date)	COUNT(*)
	ASDASDASDPH-LASD20ZWRASDASDASDPR	December	2013	1
	ASDASDASDPH-M300IASDASDASD123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M320RR123X123R	December	2013	1
	ASDASDASDPH-M350TIXASDASDASDPR	December	2013	1
	ASDASDASDPH-M500BK123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M500OR123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M510ASDASDASDI123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M510BK123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M520ZASDASDASD123QASDASDASDT	December	2013	1
	ASDASDASDPH-M550ZKXASDASDASDPR	December	2013	1
	ASDASDASDPH-M5QWE0ZKXASDASDASDPR	December	2013	1
	ASDASDASDPH-M5QWE0ZP123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M620ZK123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M630ZB123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M800ZKBASDASDASDPR	December	2013	1
	ASDASDASDPH-M810GN123ASDASDASDPR	December	2013	1
	ASDASDASDPH-M820ZKXBASDASDASDT	December	2013	1
	ASDASDASDPH-N300	December	2013	1
	ASDASDASDPH-NQWE00	December	2013	1
	ASDASDASDV800QWEH	December	2013	1
	ASDASDASDYNC	December	2013	1
	BD-C5500/X123123	December	2013	1
	BD-C5500C/X123123	December	2013	1
	BD-C5900/X123123	December	2013	1
	BD-C6500/X123123	December	2013	1
	BD-C6800/X123123	December	2013	1
	BD-C6900/X123123	December	2013	1
	BD-C8000/X123123	December	2013	1
	BD-D5100/Z123	December	2013	1
	BD-D5250C/Z123	December	2013	1
	BD-D5300/Z123	December	2013	1
	BD-D5500/Z123	December	2013	1
	BD-D5ASD00/Z123	December	2013	1
	BD-D6500/Z123	December	2013	1
	BD-D6ASD00/Z123	December	2013	1
	BD-DASD500/Z123	December	2013	1
	BD-E5300/Z123	December	2013	1
	BD-E5300/ZC	December	2013	1
	BD-E5900/Z123	December	2013	1
	BD-E5ASD00/Z123	December	2013	1
	BD-E5QWE00/Z123	December	2013	1
	BD-E6500/Z123	December	2013	1
	BD-EASDASDASD6000/Z123	December	2013	1
	BD-EM53C/Z123	December	2013	1
	BD-EM59C/Z123	December	2013	1
	BD-EM5ASD/Z123	December	2013	1
	BD-EM5ASDC/Z123	December	2013	1
	BD-F5100/Z123	December	2013	1
	BD-F5900/Z123	December	2013	1
	BD-F5ASD00/Z123	December	2013	1
	BD-F6ASD00/Z123	December	2013	1
	BD-FASD500/Z123	December	2013	1
	BD-FM59/Z123	December	2013	1
	BD-FM59C/Z123	December	2013	1
	BD-FM5ASDC/Z123	December	2013	1
	BD-H5100/Z123	December	2013	1
	BD-H5900/Z123	December	2013	1
	BD-H6500/Z123	December	2013	1
	BD-HM59/Z123	December	2013	1
	BD-HM5ASDC/Z123	December	2013	1
	BD-P1000/X123123	December	2013	1
	BD-P1200/X123123	December	2013	1
	BD-P1500/EDC	December	2013	1
	BD-P1500/X123123	December	2013	1
	BD-P1500C/X123123	December	2013	1
	BD-P1590/X123123	December	2013	1
	BD-P1590C/X123123	December	2013	1
	BD-P1600/X123123	December	2013	1
	BD-P1600123/X123123	December	2013	1
	BD-P1QWE00/X123123	December	2013	1
	BD-P2500/X123123	December	2013	1
	BD-P2550/X123123	December	2013	1
	BD-P3600/X123123	December	2013	1
	BD-P3600123/X123123	December	2013	1
	BD-PQWE600/X123123	December	2013	1
	BD-UP5000/X123123	December	2013	1
	BHF1000JBECASDASDASDT123	December	2013	1
	BHM1200NB123CASDASDASDT123	December	2013	1
	BHM1300NB123CASDASDASDT123	December	2013	1
	BHM1900NB123CASDASDASDT123	December	2013	1
	BHM1900ND123CASDASDASDT123	December	2013	1
	BHM1ASD00ND123CASDASDASDT123	December	2013	1
	BHM1ASD00NM123CASDASDASDT123	December	2013	1
	BHM3300NW123CASDASDASDT123	December	2013	1
	BHM3500JB123CASDASDASDT123	December	2013	1
	BHM3500JB123CGEN	December	2013	1
	BHM6000ND123CASDASDASDT123	December	2013	1
	BI19BASDASDASDASDASDASDB	December	2013	1
	BI1ASDBASDASDASDASDASDASDB	December	2013	1
	BL123CKJ123CK	December	2013	1
	BR-16QWE0	December	2013	1
	C QWE1ASD	December	2013	1
	C1231ASDKASDASDASDBL	December	2013	1
	C123D300ASDASDASDBEB/ASDASDASDTD	December	2013	1
	CF21GASDASDASDBUK	December	2013	1
	CLP-300/X123123	December	2013	1
	CLP-315/X123123	December	2013	1
	CLP-315/XEV	December	2013	1
	CLP-315W/X123123	December	2013	1
	CLP-325W/X123C	December	2013	1
	CLP-510	December	2013	1
	CLP-510/X123123	December	2013	1
	CLP-550/X123123	December	2013	1
	CLP-620ND/X123123	December	2013	1
	CLP-680ND/X123123	December	2013	1
	CLP-QWE15NW/X123123	December	2013	1
	CLX-3185FW/X123123	December	2013	1
	CLX-31ASD5FN/X123123	December	2013	1
	CLX-31ASD5FW/X123123	December	2013	1
	CLX-3305FW/X123C	December	2013	1
	CLX-3305W/X123123	December	2013	1
	CLX-6250FX/X123123	December	2013	1
	CLX-6260FD/X123123	December	2013	1
	CLX-6260FW/X123123	December	2013	1
	CLX-QWE195FW/X123C	December	2013	1
	CM1020B/X123123	December	2013	1
	DMR5ASDLFASDASDASD/X123123	December	2013	1
	DMR5ASDLFB/X123123	December	2013	1
	DMRASD8123HASDASDASD/X123123	December	2013	1
	DMRASDASDLHASDASDASD/X123123	December	2013	1
	DMT300RFB/X123123	December	2013	1
	DMT800RHASDASDASD/X123123	December	2013	1
	DMT800RHB/X123123	December	2013	1
	DMT800RHW/X123123	December	2013	1
	DMTQWE00RHASDASDASD/X123123	December	2013	1
	DP5001232D-12302UB	December	2013	1
	DP5151232G-K02UASDASDASD	December	2013	1
	DPASD001233B-12301UASDASDASD	December	2013	1
	DPASD001233B-12302UASDASDASD	December	2013	1
	DPASD001233D-12301UASDASDASD	December	2013	1
	DPASD001233D-K02UASDASDASD	December	2013	1
	DV209123EW/X123123	December	2013	1
	DV210123EW/X123123	December	2013	1
	DV210123GW/X123123	December	2013	1
	DV218123EB/X123123	December	2013	1
	DV218123EW/X123123	December	2013	1
